X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
SUPPLIER27,ITEM_1142,2500,PIECE,0.66,1657.5,4726,19.3,2000,2000,6,3133.34,SITE12,BUYER2,MRP,150,50,5x per week,12.738,1320,1320,99
SUPPLIER43,ITEM_0244,22,ROLL,75.2,1654.4,98,0.4,32,32,8,7369.6,SITE2,BUYER6,MRP,4,54.5,1x per week,30.08,2406.4,2406.4,300.8
SUPPLIER262,ITEM_0070,1010,POUND,1.64,1651.35,16139,65.9,1000,1000,10,26387.27,SITE2,BUYER1,MRP,192,35,3x per week,108.076,1640,1640,314.88
SUPPLIER186,ITEM_5821,31104,INCH,0.05,1648.51,93312,380.9,15552,15552,6,4945.54,SITE1,BUYER10,MRP,15552,100,5x per week,19.045,777.6,777.6,777.6
SUPPLIER259,ITEM_5445,209,PIECE,7.83,1636.47,395,1.6,100,100,8,3092.85,SITE1,BUYER1,MRP,4,100,1x per week,12.528,783,783,31.32
SUPPLIER57,ITEM_2855,535.8,SQUARE FOOT,3.04,1630.98,5967.1,24.4,270.72,270.72,4,18163.91,SITE4,BUYER5,MRP,50,97.5,5x per week,74.176,822.9888,822.9888,152
SUPPLIER186,ITEM_5888,162239.7504,INCH,0.01,1622.4,1572480.2,6418.3,112320,12480,7,15724.8,SITE1,BUYER10,MRP,112320,61.5,5x per week,64.183,1123.2,124.8,1123.2
SUPPLIER51,ITEM_0504,2000,PIECE,0.81,1614,4800,19.6,1200,1200,20,3873.6,SITE2,BUYER7,MRP,350,0,2x per week,15.876,972,972,283.5
SUPPLIER171,ITEM_3734,19400,EACH,0.08,1610.2,463400,1891.4,3400,3400,8,38462.2,SITE4,BUYER7,MRP,5728,84.8,1x per week,151.312,272,272,458.24
SUPPLIER276,ITEM_5777,700,PIECE,2.29,1603,7400,30.2,50,50,7,16946,SITE6,BUYER4,MRP,84,92.2,2x per week,69.158,114.5,114.5,192.36
SUPPLIER4,ITEM_4216,45,GALLON,35.31,1588.95,530,2.2,5,5,7,18714.3,SITE4,BUYER2,MRP,6,96.9,1x per week,77.682,176.55,176.55,211.86
SUPPLIER186,ITEM_5682,13338,INCH,0.12,1573.88,147744,603,8208,8208,6,17433.79,SITE1,BUYER10,MRP,16416,88.9,5x per week,72.36,984.96,984.96,1969.92
SUPPLIER186,ITEM_6069,140400,INCH,0.01,1544.4,4282200,17478.4,70200,70200,6,47104.2,SITE6,BUYER10,MRP,54600,87.1,5x per week,174.784,702,702,546
SUPPLIER57,ITEM_2903,621.12,SQUARE FOOT,2.48,1539.14,8469.2,34.6,621.12,621.12,4,20986.75,SITE4,BUYER5,MRP,76,100,5x per week,85.808,1540.3776,1540.3776,188.48
SUPPLIER283,ITEM_3548,4500,EACH,0.34,1539,36000,146.9,4000,4000,5,12312,SITE2,BUYER7,MRP,477,21.5,5x per week,49.946,1360,1360,162.18
SUPPLIER218,ITEM_6438,200,PIECE,7.63,1526,9024,36.8,76,76,13,68853.12,SITE6,BUYER1,MRP,206,84.3,2x per week,280.784,579.88,579.88,1571.78
SUPPLIER196,ITEM_2082,250,PIECE,6.1,1525,360,1.5,30,30,6,2196,SITE8,BUYER11,MRP,3,88.9,2x per week,9.15,183,183,18.3
SUPPLIER146,ITEM_4162,420,EACH,3.61,1517.88,3748,15.3,200,200,10,13545.27,SITE2,BUYER11,MRP,740,78.1,5x per week,55.233,722,722,2671.4
SUPPLIER218,ITEM_0743,150,PIECE,10.12,1517.7,2613,10.7,60,1,8,26438.33,SITE10,BUYER1,MRP,59,61.5,2x per week,108.284,607.2,10.12,597.08
SUPPLIER145,ITEM_5902,1800,PIECE,0.84,1512,28800,117.6,300,300,10,24192,SITE6,BUYER4,MRP,404,87.6,5x per week,98.784,252,252,339.36
SUPPLIER289,ITEM_6151,1000,PIECE,1.5,1500,1000,4.1,500,500,30,1500,SITE6,BUYER12,MRP,175,100,1x per week,6.15,750,750,262.5
SUPPLIER276,ITEM_5937,240,EACH,6.21,1490.4,3380,13.8,20,20,10,20989.8,SITE1,BUYER4,MRP,41,95.9,2x per week,85.698,124.2,124.2,254.61
SUPPLIER22,ITEM_6570,38069.99973,INCH,0.04,1484.73,892530,3643,12690,12690,7,34808.67,SITE6,BUYER7,MRP,10404,100,1x per week,145.72,507.6,507.6,416.16
SUPPLIER144,ITEM_3354,19200,INCH,0.08,1478.4,62400,254.7,19200,19200,12,4804.8,SITE10,BUYER7,MRP,4200,100,5x per week,20.376,1536,1536,336
SUPPLIER196,ITEM_6579,10169,PIECE,0.14,1464.34,128702,525.3,7500,7500,10,18533.09,SITE1,BUYER11,MRP,1663,69.9,1x per week,73.542,1050,1050,232.82
SUPPLIER186,ITEM_6100,11088,INCH,0.13,1452.53,55440,226.3,11088,11088,6,7262.64,SITE6,BUYER10,MRP,5544,85.7,5x per week,29.419,1441.44,1441.44,720.72
SUPPLIER222,ITEM_3272,120000,FOOT,0.01,1440,6755000,27571.4,60000,12000,5,81060,SITE2,BUYER12,MRP,60000,76.4,5x per week,275.714,600,120,600
SUPPLIER75,ITEM_4516,7248,FOOT,0.2,1435.1,35400,144.5,188,188,25,7009.2,SITE2,BUYER12,MRP,2474,60.6,1x per week,28.9,37.6,37.6,494.8
SUPPLIER51,ITEM_2676,1800,PIECE,0.79,1427.4,675,2.8,2475,2475,17,535.28,SITE10,BUYER7,MRP,37,21.4,5x per week,2.212,1955.25,1955.25,29.23
SUPPLIER83,ITEM_2367,1674,EACH,0.85,1422.9,48912,199.6,2040,2040,15,41575.2,SITE2,BUYER4,MRP,1260,0,1x per week,169.66,1734,1734,1071
SUPPLIER90,ITEM_4785,384,EACH,3.7,1420.8,1428,5.8,12,12,5,5283.6,SITE2,BUYER5,MRP,360,90.4,3x per week,21.46,44.4,44.4,1332
SUPPLIER276,ITEM_6259,220,PIECE,6.42,1412.4,2520,10.3,20,20,7,16178.4,SITE6,BUYER4,MRP,30,93.2,2x per week,66.126,128.4,128.4,192.6
SUPPLIER82,ITEM_3001,726,PIECE,1.94,1406.99,26620,108.7,242,242,6,51589.56,SITE7,BUYER10,MRP,242,0.9,2x per week,210.878,469.48,469.48,469.48
SUPPLIER284,ITEM_6501,26448,INCH,0.05,1401.74,60192,245.7,25080,25080,7,3190.18,SITE3,BUYER10,MRP,2736,80,5x per week,12.285,1254,1254,136.8
SUPPLIER225,ITEM_5377,25000,PIECE,0.06,1400,600000,2449,5000,5000,5,33600,SITE1,BUYER6,MRP,20000,90.2,4x per week,146.94,300,300,1200
SUPPLIER6,ITEM_0082,722,POUND,1.9,1368.19,40888,166.9,498,498,11,77482.76,SITE8,BUYER1,MRP,1159,83.6,4x per week,317.11,946.2,946.2,2202.1
SUPPLIER57,ITEM_2902,544.32,SQUARE FOOT,2.49,1354.81,14214.7,58,544.32,544.32,4,35380.36,SITE4,BUYER5,MRP,123,100,5x per week,144.42,1355.3568,1355.3568,306.27
SUPPLIER259,ITEM_1576,200,PIECE,6.75,1350,1600,6.5,200,200,5,10800,SITE10,BUYER1,MRP,13,92.3,1x per week,43.875,1350,1350,87.75
SUPPLIER276,ITEM_6206,1000,PIECE,1.32,1320,12317,50.3,100,100,7,16258.44,SITE6,BUYER4,MRP,158,96.9,2x per week,66.396,132,132,208.56
SUPPLIER249,ITEM_4836,54,GALLON,24.12,1302.48,486,2,54,54,5,11722.32,SITE2,BUYER8,MRP,7,93.3,3x per week,48.24,1302.48,1302.48,168.84
SUPPLIER22,ITEM_6279,12480,INCH,0.1,1297.92,118560,483.9,6240,6240,7,12330.24,SITE6,BUYER7,MRP,1580,96.7,2x per week,48.39,624,624,158
SUPPLIER129,ITEM_4420,540,PIECE,2.4,1296,4590,18.7,270,270,4,11016,SITE12,BUYER3,MRP,40,96.7,5x per week,44.88,648,648,96
SUPPLIER171,ITEM_4660,5800,FOOT,0.22,1276,40600,165.7,2900,2900,20,8932,SITE6,BUYER7,MRP,5800,89.3,5x per week,36.454,638,638,1276
SUPPLIER211,ITEM_4671,11925,SQUARE FOOT,0.11,1264.05,306261,1250,15900,3975,8,32463.67,SITE8,BUYER11,MRP,7628,34.3,1x per week,137.5,1749,437.25,839.08
SUPPLIER186,ITEM_5848,5616,INCH,0.23,1263.6,224640,916.9,2808,2808,6,50544,SITE6,BUYER10,MRP,5616,88.2,5x per week,210.887,645.84,645.84,1291.68
SUPPLIER22,ITEM_3319,18000,FOOT,0.07,1260,558000,2277.6,18000,18000,5,39060,SITE2,BUYER7,MRP,5282,79,2x per week,159.432,1260,1260,369.74
SUPPLIER51,ITEM_3634,3270,PIECE,0.39,1258.95,3000,12.2,5000,5000,5,1155,SITE10,BUYER7,MRP,33,41.3,5x per week,4.758,1950,1950,12.87
SUPPLIER146,ITEM_6759,5264,PIECE,0.24,1258.1,2328,9.5,5000,1000,10,556.39,SITE6,BUYER11,MRP,34,100,1x per week,2.28,1200,240,8.16
SUPPLIER57,ITEM_2863,533.76,SQUARE FOOT,2.34,1249,30580,124.8,533.76,533.76,2,71557.2,SITE4,BUYER5,MRP,258,94.4,5x per week,292.032,1248.9984,1248.9984,603.72
SUPPLIER57,ITEM_2849,541.44,SQUARE FOOT,2.28,1233.4,22052.4,90,270.72,270.72,2,50235.37,SITE4,BUYER5,MRP,194,100,5x per week,205.2,617.2416,617.2416,442.32
SUPPLIER205,ITEM_1043,7200,FOOT,0.17,1224,36000,146.9,7200,7200,5,6120,SITE2,BUYER6,MRP,100,90.9,5x per week,24.973,1224,1224,17
SUPPLIER35,ITEM_3024,500,PIECE,2.43,1216,875,3.6,875,875,20,2128,SITE2,BUYER7,MRP,36,0,5x per week,8.748,2126.25,2126.25,87.48
SUPPLIER6,ITEM_0167,588,POUND,2.06,1211.87,1774,7.2,515,515,10,3656.21,SITE2,BUYER1,MRP,15,50,4x per week,14.832,1060.9,1060.9,30.9
SUPPLIER32,ITEM_1425,320,PIECE,3.77,1205.76,1680,6.9,320,40,5,6330.24,SITE2,BUYER4,MRP,90,56.4,2x per week,26.013,1206.4,150.8,339.3
SUPPLIER110,ITEM_2129,40000,PIECE,0.03,1200,2065000,8428.6,10000,10000,6,61950,SITE1,BUYER11,MRP,23814,100,2x per month,252.858,300,300,714.42
SUPPLIER171,ITEM_5461,50000,PIECE,0.02,1200,375000,1530.6,50000,50000,9,9000,SITE6,BUYER7,MRP,4898,84.6,5x per week,30.612,1000,1000,97.96
SUPPLIER144,ITEM_6578,8000,PIECE,0.15,1200,117500,479.6,4000,4000,7,17625,SITE6,BUYER7,MRP,1700,86.2,5x per week,71.94,600,600,255
SUPPLIER202,ITEM_1018,150,PIECE,7.95,1192.5,2610,10.7,50,50,6,20749.5,SITE2,BUYER4,MRP,34,57,1x per week,85.065,397.5,397.5,270.3
SUPPLIER6,ITEM_0295,629.114,POUND,1.9,1192.17,11348,46.3,354,354,16,21504.46,SITE4,BUYER1,MRP,464,64.1,4x per week,87.97,672.6,672.6,881.6
SUPPLIER82,ITEM_6661,18942,INCH,0.06,1174.4,18480,75.4,18711,18711,5,1145.76,SITE1,BUYER10,MRP,151,60,5x per week,4.524,1122.66,1122.66,9.06
SUPPLIER276,ITEM_5982,220,EACH,5.3,1166,2540,10.4,20,20,7,13462,SITE6,BUYER4,MRP,30,97,2x per week,55.12,106,106,159
SUPPLIER144,ITEM_3373,350,EACH,3.32,1163.05,5500,22.4,50,50,3,18276.5,SITE10,BUYER7,MRP,50,51.8,3x per week,74.368,166,166,166
SUPPLIER276,ITEM_5762,500,EACH,2.27,1135,2700,11,100,100,12,6129,SITE6,BUYER4,MRP,61,98,2x per week,24.97,227,227,138.47
SUPPLIER232,ITEM_5815,63000,INCH,0.02,1134,740250,3021.4,15750,15750,5,13324.5,SITE6,BUYER6,MRP,15750,94.5,3x per week,60.428,315,315,315
SUPPLIER4,ITEM_4239,35,GALLON,32.32,1131.2,185,0.8,5,5,7,5979.2,SITE8,BUYER2,MRP,15,95.7,1x per week,25.856,161.6,161.6,484.8
SUPPLIER57,ITEM_2872,366.13,SQUARE FOOT,3.08,1128.41,2134.5,8.7,373.92,373.92,4,6578.41,SITE4,BUYER5,MRP,23,91.5,5x per week,26.796,1151.6736,1151.6736,70.84
SUPPLIER186,ITEM_5425,6320,INCH,0.18,1118.64,12640,51.6,6320,6320,6,2237.28,SITE6,BUYER10,MRP,3160,100,5x per week,9.288,1137.6,1137.6,568.8
SUPPLIER171,ITEM_6695,5000,PIECE,0.22,1100,38000,155.1,5000,5000,19,8360,SITE1,BUYER7,MRP,3000,64.3,5x per week,34.122,1100,1100,660
SUPPLIER58,ITEM_2969,2009.1,SQUARE FOOT,0.55,1098.98,16496.3,67.3,4821.84,4821.84,2,9023.5,SITE3,BUYER5,MRP,113,67,5x per week,37.015,2652.012,2652.012,62.15
SUPPLIER144,ITEM_6703,21000,PIECE,0.05,1092,5000,20.4,3000,3000,12,260,SITE6,BUYER7,MRP,571,100,5x per week,1.02,150,150,28.55
SUPPLIER237,ITEM_5345,20,EACH,54.55,1091,40,0.2,20,20,10,2182,SITE2,BUYER4,MRP,0,100,3x per week,10.91,1091,1091,0
SUPPLIER32,ITEM_6057,10000,PIECE,0.11,1080,70000,285.7,10000,10000,7,7560,SITE6,BUYER4,MRP,735,45.5,2x per week,31.427,1100,1100,80.85
SUPPLIER206,ITEM_5371,134400,INCH,0.01,1075.2,1699200,6935.5,86400,86400,5,13593.6,SITE3,BUYER6,MRP,57600,95,5x per week,69.355,864,864,576
SUPPLIER284,ITEM_5423,22344,INCH,0.05,1072.51,223440,912,22344,22344,2,10725.12,SITE6,BUYER10,MRP,10944,11.8,5x per week,45.6,1117.2,1117.2,547.2
SUPPLIER22,ITEM_0874,12600,INCH,0.09,1071,6300,25.7,18900,18900,20,535.5,SITE2,BUYER7,MRP,257,0,2x per week,2.313,1701,1701,23.13
SUPPLIER9,ITEM_6564,10000,PIECE,0.11,1070,310000,1265.3,10000,10000,10,33170,SITE1,BUYER1,MRP,3673,82.8,1x per week,139.183,1100,1100,404.03
SUPPLIER218,ITEM_5486,445,PIECE,2.4,1068.45,812,3.3,336,336,13,1949.61,SITE6,BUYER1,MRP,29,48.8,2x per week,7.92,806.4,806.4,69.6
SUPPLIER146,ITEM_4438,792,PIECE,1.34,1058.11,5210,21.3,250,250,12,6960.56,SITE10,BUYER11,MRP,89,78.2,5x per week,28.542,335,335,119.26
SUPPLIER46,ITEM_4626,864,PIECE,1.22,1054.08,1728,7.1,864,864,16,2108.16,SITE4,BUYER3,MRP,35,100,2x per week,8.662,1054.08,1054.08,42.7
SUPPLIER276,ITEM_5968,900,EACH,1.17,1053,16500,67.3,100,100,7,19305,SITE6,BUYER4,MRP,191,98.3,2x per week,78.741,117,117,223.47
SUPPLIER276,ITEM_5977,200,EACH,5.23,1046,100,0.4,50,50,12,523,SITE6,BUYER4,MRP,2,50,2x per week,2.092,261.5,261.5,10.46
SUPPLIER6,ITEM_0165,498,POUND,2.07,1028.37,1490,6.1,452,452,11,3076.85,SITE2,BUYER1,MRP,37,100,4x per week,12.627,935.64,935.64,76.59
SUPPLIER32,ITEM_0909,750,EACH,1.37,1026.75,19000,77.6,50,50,6,26011,SITE4,BUYER4,MRP,271,80.6,2x per week,106.312,68.5,68.5,371.27
SUPPLIER4,ITEM_4212,30,GALLON,34,1020,260,1.1,5,5,7,8840,SITE7,BUYER2,MRP,35,93.6,1x per week,37.4,170,170,1190
SUPPLIER129,ITEM_4758,1620,PIECE,0.63,1018.98,21060,86,540,540,7,13246.74,SITE4,BUYER3,MRP,258,53.4,2x per week,54.18,340.2,340.2,162.54
SUPPLIER196,ITEM_6603,2600,PIECE,0.39,1016.6,15910,64.9,1000,1000,7,6220.81,SITE6,BUYER11,MRP,2100,87.6,1x per week,25.311,390,390,819
SUPPLIER186,ITEM_6158,42300,INCH,0.02,1015.2,1233750,5035.7,7050,7050,6,29610,SITE6,BUYER10,MRP,28200,82.2,5x per week,100.714,141,141,564
SUPPLIER186,ITEM_6102,78000,INCH,0.01,1014,1723800,7035.9,7800,7800,6,22409.4,SITE6,BUYER10,MRP,54600,82.7,5x per week,70.359,78,78,546
SUPPLIER146,ITEM_4741,320,PIECE,3.15,1007.04,6770,27.6,160,160,3,21305.19,SITE10,BUYER11,MRP,44,46.1,1x per week,86.94,504,504,138.6
SUPPLIER205,ITEM_5371,124800,INCH,0.01,998.4,604800,2468.6,86400,86400,5,4838.4,SITE1,BUYER6,MRP,19200,100,5x per week,24.686,864,864,192
SUPPLIER51,ITEM_3153,10000,PIECE,0.1,990,40000,163.3,10000,10000,5,3960,SITE2,BUYER7,MRP,583,25,5x per week,16.33,1000,1000,58.3
SUPPLIER57,ITEM_2853,315.1,SQUARE FOOT,3.14,988.15,637.1,2.6,328.8,328.8,4,1997.79,SITE4,BUYER5,MRP,15,100,5x per week,8.164,1032.432,1032.432,47.1
SUPPLIER7,ITEM_0795,260,PIECE,3.79,984.36,6800,27.8,430,430,8,25744.8,SITE7,BUYER1,MRP,37,79.4,2x per week,105.362,1629.7,1629.7,140.23
SUPPLIER239,ITEM_4108,9600,PIECE,0.1,979.2,23000,93.9,4800,4800,7,2346,SITE6,BUYER11,MRP,176,57.1,1x per week,9.39,480,480,17.6
SUPPLIER32,ITEM_6057,9000,PIECE,0.11,972,3100,12.7,10000,10000,11,334.8,SITE3,BUYER4,MRP,49,0,2x per week,1.397,1100,1100,5.39
SUPPLIER57,ITEM_2852,299.52,SQUARE FOOT,3.24,969.55,2165.3,8.8,299.52,299.52,4,7009.01,SITE4,BUYER5,MRP,25,93.3,5x per week,28.512,970.4448,970.4448,81
SUPPLIER144,ITEM_6198,20000,PIECE,0.05,960,694000,2832.7,2000,2000,7,33312,SITE6,BUYER7,MRP,16000,94.4,5x per week,141.635,100,100,800
SUPPLIER61,ITEM_3911,3863.47,SQUARE FOOT,0.25,954.28,68205.7,278.4,3775.33,3775.33,2,16846.8,SITE3,BUYER5,MRP,534,100,5x per week,69.6,943.8325,943.8325,133.5
SUPPLIER146,ITEM_4454,278,PIECE,3.38,940.75,5387,22,250,250,12,18229.61,SITE10,BUYER11,MRP,94,83.3,5x per week,74.36,845,845,317.72
SUPPLIER57,ITEM_2990,385.1376,SQUARE FOOT,2.44,940.51,897.1,3.7,450.8928,450.8928,2,2190.69,SITE4,BUYER5,MRP,44,88.8,5x per week,9.028,1100.178432,1100.178432,107.36
SUPPLIER146,ITEM_4169,400,EACH,2.34,934.4,2458,10,400,400,3,5741.89,SITE10,BUYER11,MRP,20,44.6,5x per week,23.4,936,936,46.8
SUPPLIER144,ITEM_3193,350,EACH,2.63,921.9,700,2.9,350,175,10,1843.8,SITE2,BUYER7,MRP,41,33.3,5x per week,7.627,920.5,460.25,107.83
SUPPLIER22,ITEM_6289,15600,INCH,0.06,920.4,202800,827.8,7800,7800,7,11965.2,SITE6,BUYER7,MRP,4712,97.4,2x per week,49.668,468,468,282.72
SUPPLIER32,ITEM_1429,180,EACH,5.1,917.46,1740,7.1,20,20,6,8868.78,SITE12,BUYER4,MRP,24,73.7,2x per week,36.21,102,102,122.4
SUPPLIER144,ITEM_4268,7500,PIECE,0.12,915,33750,137.8,15000,1250,12,4117.5,SITE10,BUYER7,MRP,913,75,5x per week,16.536,1800,150,109.56
SUPPLIER171,ITEM_3151,4128,PIECE,0.22,908.16,28896,117.9,8256,8256,8,6357.12,SITE12,BUYER7,MRP,750,57.1,5x per week,25.938,1816.32,1816.32,165
SUPPLIER180,ITEM_4621,11200,PIECE,0.08,907.2,508972,2077.4,5600,5600,6,41226.73,SITE1,BUYER11,MRP,6585,30.1,1x per week,166.192,448,448,526.8
SUPPLIER148,ITEM_5612,1575,PIECE,0.57,896.18,26975,110.1,525,525,10,15348.78,SITE1,BUYER11,MRP,334,35.9,2x per week,62.757,299.25,299.25,190.38
SUPPLIER35,ITEM_3344,22400,FOOT,0.04,896,59200,241.6,28800,800,3,2368,SITE2,BUYER7,MRP,693,100,5x per week,9.664,1152,32,27.72
SUPPLIER186,ITEM_5571,14220,INCH,0.06,895.86,199080,812.6,14220,14220,6,12542.04,SITE6,BUYER10,MRP,7110,90.9,5x per week,48.756,853.2,853.2,426.6
SUPPLIER47,ITEM_5033,312,CARTRIDGE,2.83,882.02,2160,8.8,96,24,30,6106.32,SITE2,BUYER2,MRP,33,39.9,2x per month,24.904,271.68,67.92,93.39
SUPPLIER196,ITEM_6453,1750,PIECE,0.5,869.75,60155,245.5,350,350,7,29897.04,SITE6,BUYER11,MRP,644,83.2,2x per week,122.75,175,175,322
SUPPLIER110,ITEM_2339,24500,EACH,0.04,857.5,563500,2300,3500,3500,2,19722.5,SITE4,BUYER11,MRP,1270,97.9,5x per week,92,140,140,50.8
SUPPLIER205,ITEM_4469,5400,FOOT,0.16,853.2,145800,595.1,5400,5400,5,23036.4,SITE10,BUYER6,MRP,1000,86.3,5x per week,95.216,864,864,160
SUPPLIER57,ITEM_2837,305.69,SQUARE FOOT,2.78,850.12,3600.8,14.7,381.12,381.12,4,10013.8,SITE4,BUYER5,MRP,42,95.4,5x per week,40.866,1059.5136,1059.5136,116.76
SUPPLIER146,ITEM_4436,1312,PIECE,0.65,847.55,628,2.6,600,150,12,405.69,SITE10,BUYER11,MRP,274,71.2,5x per week,1.69,390,97.5,178.1
SUPPLIER32,ITEM_0900,500,EACH,1.69,846,16850,68.8,50,50,6,28510.2,SITE4,BUYER4,MRP,176,86.7,2x per week,116.272,84.5,84.5,297.44
SUPPLIER93,ITEM_2637,5000,EACH,0.17,845,5000,20.4,5000,5000,30,845,SITE10,BUYER11,MRP,612,33.3,5x per week,3.468,850,850,104.04
SUPPLIER82,ITEM_6663,14322,INCH,0.06,845,28644,116.9,14322,14322,4,1690,SITE6,BUYER10,MRP,234,0,5x per week,7.014,859.32,859.32,14.04
SUPPLIER7,ITEM_0803,204,PIECE,4.12,839.46,1317,5.4,386,386,7,5419.46,SITE7,BUYER1,MRP,26,100,2x per week,22.248,1590.32,1590.32,107.12
SUPPLIER26,ITEM_1484,600,PIECE,1.4,837,14350,58.6,50,50,6,20018.25,SITE10,BUYER2,MRP,100,2.9,2x per week,82.04,70,70,140
SUPPLIER82,ITEM_6666,12480,INCH,0.07,836.16,12480,50.9,12480,12480,4,836.16,SITE6,BUYER10,MRP,20,33.3,5x per week,3.563,873.6,873.6,1.4
SUPPLIER49,ITEM_5125,100,PIECE,8.33,832.5,1510,6.2,50,50,6,12570.75,SITE2,BUYER12,MRP,20,79.1,5x per week,51.646,416.5,416.5,166.6
SUPPLIER110,ITEM_2281,13405,EACH,0.06,831.11,120000,489.8,5000,5000,1,7440,SITE2,BUYER11,MRP,125,50,5x per week,29.388,300,300,7.5
SUPPLIER23,ITEM_1144,1200,PIECE,0.69,825.6,15150,61.8,400,400,6,10423.2,SITE12,BUYER2,MRP,150,69.1,5x per week,42.642,276,276,103.5
SUPPLIER6,ITEM_0112,482,POUND,1.68,810.24,7440,30.4,190,190,11,12506.64,SITE7,BUYER1,MRP,194,88.7,4x per week,51.072,319.2,319.2,325.92
SUPPLIER196,ITEM_4189,5000,EACH,0.16,805,25410,103.7,5000,5000,7,4091.01,SITE10,BUYER11,MRP,184,71.3,2x per week,16.592,800,800,29.44
SUPPLIER146,ITEM_4666,600,PIECE,1.34,804.6,18064,73.7,300,300,2,24223.82,SITE4,BUYER11,MRP,48,100,5x per week,98.758,402,402,64.32
SUPPLIER57,ITEM_2999,281.4705,SQUARE FOOT,2.84,799.38,287.7,1.2,300.2352,300.2352,4,817.14,SITE4,BUYER5,MRP,2,100,5x per week,3.408,852.667968,852.667968,5.68
SUPPLIER51,ITEM_3173,3300,PIECE,0.24,795.3,11296,46.1,3300,3300,4,2722.34,SITE12,BUYER7,MRP,410,60,5x per week,11.064,792,792,98.4
SUPPLIER6,ITEM_0359,380,POUND,2.07,784.7,1085,4.4,54,54,16,2240.53,SITE7,BUYER1,MRP,20,100,4x per week,9.108,111.78,111.78,41.4
SUPPLIER274,ITEM_3647,1000,EACH,0.78,783,2713,11.1,500,500,5,2124.28,SITE2,BUYER7,MRP,23,63.7,1x per week,8.658,390,390,17.94
SUPPLIER211,ITEM_4674,7375,SQUARE FOOT,0.11,781.75,538375,2197.4,29500,7375,8,57067.75,SITE8,BUYER11,MRP,18000,22.6,1x per week,241.714,3245,811.25,1980
SUPPLIER22,ITEM_6290,11700,INCH,0.07,772.2,163800,668.6,11700,11700,7,10810.8,SITE6,BUYER7,MRP,1800,95.7,2x per week,46.802,819,819,126
SUPPLIER146,ITEM_4735,747,EACH,1.03,770.9,13719,56,500,500,1,14158.01,SITE2,BUYER11,MRP,107,92,5x per week,57.68,515,515,110.21
SUPPLIER129,ITEM_4448,2610,EACH,0.3,769.95,18270,74.6,2610,2610,7,5389.65,SITE4,BUYER3,MRP,224,35.7,2x per week,22.38,783,783,67.2
SUPPLIER6,ITEM_0083,406,POUND,1.9,769.37,1255.5,5.1,188,188,11,2379.17,SITE7,BUYER1,MRP,40,100,4x per week,9.69,357.2,357.2,76
SUPPLIER146,ITEM_4168,400,EACH,1.91,762,23277,95,400,400,1,44342.69,SITE2,BUYER11,MRP,800,97,5x per week,181.45,764,764,1528
SUPPLIER196,ITEM_6581,2500,PIECE,0.3,755,17527,71.5,2500,2500,7,5293.15,SITE6,BUYER11,MRP,100,84.6,1x per week,21.45,750,750,30
SUPPLIER35,ITEM_6622,2400,PIECE,0.31,753.6,6400,26.1,4800,4800,26,2009.6,SITE3,BUYER7,MRP,405,100,5x per week,8.091,1488,1488,125.55
SUPPLIER186,ITEM_5889,74880,INCH,0.01,748.8,74880,305.6,112320,12480,7,748.8,SITE1,BUYER10,MRP,509,93.3,5x per week,3.056,1123.2,124.8,5.09
SUPPLIER27,ITEM_6533,3000,PIECE,0.25,741,67500,275.5,1500,1500,7,16672.5,SITE6,BUYER2,MRP,1500,90,5x per week,68.875,375,375,375
SUPPLIER32,ITEM_2444,1700,EACH,0.43,737.8,44500,181.6,100,100,6,19313,SITE4,BUYER4,MRP,568,76.8,2x per week,78.088,43,43,244.24
SUPPLIER200,ITEM_0953,50,PIECE,14.65,732.5,775,3.2,25,25,10,11353.75,SITE1,BUYER4,MRP,9,100,5x per week,46.88,366.25,366.25,131.85
SUPPLIER276,ITEM_5970,2000,EACH,0.36,722,21200,86.5,200,200,10,7653.2,SITE1,BUYER4,MRP,250,97.4,2x per week,31.14,72,72,90
SUPPLIER276,ITEM_5948,1500,EACH,0.48,720,16600,67.8,100,100,7,7968,SITE6,BUYER4,MRP,198,97.1,2x per week,32.544,48,48,95.04
SUPPLIER218,ITEM_0799,272,PIECE,2.65,719.71,1697,6.9,225,225,7,4490.26,SITE7,BUYER1,MRP,21,68.5,2x per week,18.285,596.25,596.25,55.65
SUPPLIER61,ITEM_3845,3883.6,SQUARE FOOT,0.18,710.7,12887.4,52.6,3694.53,3694.53,10,2358.4,SITE3,BUYER5,MRP,151,66.4,5x per week,9.468,665.0154,665.0154,27.18
SUPPLIER276,ITEM_5733,400,PIECE,1.76,704,4300,17.6,100,100,10,7568,SITE1,BUYER4,MRP,49,98.8,2x per week,30.976,176,176,86.24
SUPPLIER237,ITEM_5311,6,EACH,117.12,702.72,114,0.5,6,6,10,13351.68,SITE2,BUYER4,MRP,2,81.6,3x per week,58.56,702.72,702.72,234.24
SUPPLIER32,ITEM_3497,25000,PIECE,0.03,700,420000,1714.3,5000,5000,5,11760,SITE3,BUYER4,MRP,3592,70.3,2x per week,51.429,150,150,107.76
SUPPLIER32,ITEM_0905,100,EACH,6.98,698,250,1,50,50,6,1745,SITE4,BUYER4,MRP,3,66.7,2x per week,6.98,349,349,20.94
